Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,3361031,3341677,3302442,3232542,3133783,3009724,2871540,2732675,2599756,2481592,2386040,2319241,2273123,2237609,2210275,2189580,2174413,2163653,2154768,2147133,2140668,2135325,2131004,2127618,2124685,2121971,2119479,2117219,2115188,2113375,2111773,2110356,2109085,2107953,2106937,2105972
2: regular customers,3361031,3258812,3130969,2984925,2834880,2686464,2546003,2424383,2331854,2270052,2226258,2192659,2167411,2149134,2136454,2126683,2118441,2111605,2106071,2101718,2098439,2095712,2093264,2091087,2089170,2087500,2086075,2084902,2083969,2083264,2082774,2082428,2082148,2081928,2081761,2081640
3: regular customers,3361031,3341677,3302442,3232542,3133769,3009653,2871391,2732441,2599435,2481206,2385652,2318894,2272791,2237288,2209972,2189298,2174156,2163407,2154520,2146885,2140423,2135085,2130769,2127387,2124451,2121734,2119240,2116980,2114948,2113136,2111535,2110120,2108852,2107723,2106710,2105747
4: regular customers,3361031,3258812,3130969,2984925,2834859,2686383,2545853,2424174,2331641,2269854,2226056,2192461,2167223,2148959,2136294,2126519,2118274,2111438,2105905,2101555,2098277,2095545,2093094,2090915,2088996,2087325,2085899,2084726,2083793,2083090,2082602,2082256,2081977,2081758,2081593,2081475
5: regular customers,3361031,3213589,2945413,2556591,2225225,2093547,2032535,1996278,1971508,1953071,1938243,1926550,1917720,1911254,1906623,1903626,1902072,1901777,1902586,1904345,1906932,1910235,1914115,1918323,1922423,1926395,1930251,1934007,1937666,1941229,1944694,1948045,1951252,1954318,1957241,1960021
6: regular customers,3361031,2806292,2302199,2100636,2021278,1979329,1951515,1931613,1915674,1903286,1894121,1887334,1882566,1879673,1878378,1878477,1879777,1882099,1885293,1889219,1893716,1898243,1902658,1906961,1911153,1915232,1919209,1923100,1926906,1930627,1934262,1937792,1941189,1944451,1947579,1950571
7: regular customers,3361031,3213589,2945413,2556587,2225184,2093503,2032497,1996238,1971470,1953030,1938201,1926509,1917680,1911214,1906584,1903588,1902037,1901743,1902555,1904316,1906905,1910211,1914093,1918301,1922400,1926372,1930227,1933983,1937642,1941205,1944670,1948020,1951227,1954293,1957216,1959996
8: regular customers,3361031,2806292,2302199,2100631,2021267,1979314,1951498,1931594,1915653,1903265,1894099,1887312,1882544,1879652,1878357,1878457,1879759,1882082,1885277,1889205,1893702,1898229,1902643,1906946,1911137,1915216,1919192,1923083,1926889,1930610,1934245,1937775,1941171,1944434,1947562,1950554
9: regular customers,3361031,3340692,3298580,3222192,3111151,2966761,2800421,2626313,2459176,2326924,2245436,2188735,2149281,2123573,2104693,2089225,2076891,2067382,2059433,2052377,2046190,2040873,2036370,2032645,2029643,2027180,2025205,2023711,2022674,2022068,2021863,2022014,2022464,2023185,2024149,2025326
