Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,14344,46517,98455,180970,292308,427373,573174,716267,852781,976228,1079032,1155244,1212192,1259199,1298499,1331511,1359243,1382703,1404258,1424481,1443445,1461159,1477649,1492990,1507632,1521791,1535477,1548701,1561469,1573784,1585649,1597059,1607998,1618474,1628502,1638143
2: customers with PV,14344,129410,270067,428977,588865,743639,888613,1016516,1117551,1189913,1245351,1291129,1328949,1360104,1385881,1408810,1430181,1450074,1468580,1485804,1501846,1517165,1531952,1546212,1559952,1573176,1585900,1598142,1609911,1621215,1632062,1642488,1652518,1662156,1671404,1680268
3: customers with PV,14344,46517,98455,180970,292308,427372,573166,716241,852723,976111,1078805,1154890,1211755,1258693,1297928,1330878,1358552,1381973,1403504,1423702,1442641,1460330,1476795,1492115,1506744,1520890,1534561,1547772,1560526,1572826,1584678,1596073,1606998,1617459,1627475,1637104
4: customers with PV,14344,129410,270067,428977,588865,743634,888591,1016463,1117423,1189709,1245102,1290834,1328610,1359724,1385462,1408375,1429728,1449603,1468092,1485298,1501323,1516633,1531410,1545660,1559389,1572603,1585316,1597547,1609305,1620598,1631433,1641850,1651871,1661499,1670738,1679593
5: customers with PV,14344,161379,430131,822262,1159900,1299753,1370847,1418683,1455908,1487228,1515126,1540015,1562137,1581961,1599978,1616369,1631295,1644893,1657301,1668653,1679061,1688596,1697319,1705463,1713436,1721251,1728910,1736421,1743781,1750986,1758033,1764906,1771583,1778062,1784339,1790412
6: customers with PV,14344,569644,1079385,1290853,1381046,1434701,1475242,1508353,1537681,1563599,1586399,1606852,1625291,1641866,1656832,1670382,1682676,1693854,1704049,1713384,1722011,1730408,1738644,1746715,1754616,1762345,1769904,1777301,1784533,1791599,1798495,1805208,1811714,1818014,1824104,1829983
7: customers with PV,14344,161379,430131,822262,1159881,1299701,1370772,1418596,1455809,1487123,1515015,1539897,1562012,1581831,1599842,1616228,1631148,1644741,1657145,1668492,1678896,1688426,1697146,1705289,1713260,1721074,1728733,1736243,1743602,1750807,1757852,1764724,1771400,1777878,1784154,1790226
8: customers with PV,14344,569644,1079385,1290852,1381039,1434690,1475226,1508334,1537659,1563573,1586370,1606818,1625254,1641826,1656789,1670335,1682627,1693802,1703994,1713326,1721952,1730348,1738584,1746654,1754555,1762284,1769842,1777238,1784470,1791535,1798430,1805142,1811648,1817947,1824036,1829914
9: customers with PV,14344,47502,102319,191326,314967,470283,644069,822177,993500,1132695,1224132,1292050,1343511,1381834,1413566,1441945,1467224,1489666,1510466,1530244,1549024,1566773,1583478,1599170,1613898,1627831,1641029,1653524,1665340,1676497,1687020,1696919,1706202,1714893,1723015,1730595
10: customers with PV,14344,132190,282910,461728,651753,845460,1027981,1166662,1256210,1322562,1371481,1408157,1439987,1467992,1492617,1514793,1535754,1555536,1574172,1591719,1608222,1623697,1638297,1652086,1665094,1677348,1688885,1699746,1709962,1719564,1728579,1737026,1744914,1752272,1759125,1765501
